nifty_before,call_volume,put_volume,total_call,total_put,nifty_after, WINNER,   AFTER 15 MIN NIFTY,  TOTAL POINTS UP/DOWN
24332,       -749000,     732000,       0,           0,       24340,    BUY CALL,  24357,               8+ 
24340,       500000,     -300000,       0,           0,       24328,    BUY PUT,   24315,              -12
24328,       600000,     900000,        0,           0,       24345,    BUY CALL,  24360,               15+
24340,     -20000000,    10000000,    183100000, 168100000,   24385,    BUY CALL,  24390,               5+
24385,     -2882000,     -8675000,    180000010, 180000010,   24374,    BUY PUT,   24360,               -14

24190.0,  4721000.0,   -17100000.0, 361200000.0, 196000000.0, 24196,    BUY CALL,  24200,               4+      
24225.0,   48295.0,      166000.0,  114600000.0,  98300000.0, 24231,    BUY CALL,  24214,                +6
24234.0,  2298000.0,     785000.0,  109200000.0,  96900000.0, 24222,    BUY PUT,   24220,               -12
24233,    -733000,       -1241000,  224300000,    236900000,  24230,    BUY PUT,   24225,                +3
24225,   295000,        -688000,    224500000,    237000000,  24230,    BUY CALL,  24239,                +5
24239,   -1733000,       509000,    221600000,    236200000,  24243,    BUY PUT,   24234,                +4
24230,   1426000,        -282000,   224300000,    239500000,  24233,    BUY CALL,  24241,                +3
24241,   -510000,        -629000,   224100000,    239500000,  24250,    BUY CALL,  24246,                +9
24246,   -39715,         -142000,   220200000,    241800000,  24238,    BUY PUT,   24239,                -8
24280,   -550000,        1261000,   255900000,    232300000,  24279,    BUY PUT,   24270,                 -1
24270,   -702000,        732000,    253300000,    234500000,  24269,    BUY PUT,   24230,                 -1
24269,   419000,         -6369000,  253700000,    228200000,  24243,    BUY PUT,   24221,                -26
24221,   8144000,       -4315000,   271800000,    203800000,  24210,    BUY PUT,   24203,                -11
24203,   2314000,       -1623000,   289800000,    200300000,  24202,    BUY PUT,   24180,                -1
24169,   -2800000,      -2382000,   311600000,    270000000,  24171,    BUY PUT,   24156,                +2
24156,   491000,        -7706000,   313900000,    262800000,  24157,    BUY PUT,   24157,                 +1
24157,   272000,        -3423000,   318200000,    261200000,  24144,    BUY PUT,   24129,                -13
24129,   1505000,       -4296000,   326400000,    247800000,  24129,    BUY PUT,   24126,                 -1
24126,   634000,        -2257000,   332500000,    240600000,  24132,    BUY CALL,  24140,                 +14
24140,   3789000,       184000,     339500000,    239700000,  24133,    BUY CALL,  24156,                 +16
24151,   -330000,       -1448000,   312600000,    200500000,  24154,    BUY CALL,  24161,                 +11
24182,   -6940000,      -4435000,   249900000,    177500000,  24182,    BUY CALL,  24219,                 +37
24169,   -460000,       -380000,    314900000,    201800000,  24167,    BUY PUT,   24160,                 -2
24267,  -106000,        -289000,    153400000,    103300000,  24266,    BUY CALL,  24275,                 -1
24278,  -702000,        -661000,    150500000,    102700000,  24279,    BUY CALL,  24290,                 +1
24274,  834000,         148000,     145000000,    103500000,  24273,    BUY PUT,   24263,                 -1
24285,  669000,         -530000,    125500000,    105600000,  24288,    BUY PUT,   24270,                 +3
24270,  2406000,        -88335,     133000000,    103300000,  24280,    BUY CALL,  24290,                 +10
24309,  705000,         -35165,     125000000,    105100000,  24308,    BUY PUT,   24285,                 -1
24321,  307000,         97305,      119900000,    105300000,  24330,    BUY PUT,   24302,                +9
24346,  3017000,        -2677000,   101500000,    111400000,  24342,    BUY PUT,   24302,                -4
24351,  3037000,        3815000,    89200000,     102300000,  24344,    BUY CALL,  24371,                -6
24364,  1170000,        1062000,    95200000,     113900000,  24365,    BUY PUT,   24346,                +1
24351,  3037000,        3815000,    89200000,     102300000,  24344,    BUY CALL,  24371,                -6
24154,  220000,         156000,     47000000,     41600000,   24149,    BUY CALL,  24175,                -5
